PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Dillon Brooks,MEM,26,32,22,10,27.7,116.9,105.9,11.0,14.7,1.76,12.5,3.0,8.0,5.5,7.1,47.5,51.5,28.3,101.53,9.1,1872,12200000.0,117284457.0,10.4
Ziaire Williams,MEM,20,62,41,21,21.7,112.9,108.8,4.2,6.2,1.59,11.8,1.7,7.1,4.4,7.4,54.0,55.9,14.4,103.22,5.5,2896,4373040.0,117284457.0,3.7
Jarrett Culver,MEM,23,37,28,9,9.1,104.3,106.6,-2.3,13.5,1.65,16.3,3.3,10.1,6.5,9.9,42.2,43.3,19.9,103.26,4.8,727,6395160.0,117284457.0,5.5
Killian Tillie,MEM,24,36,27,9,12.8,109.2,105.8,3.4,6.1,1.69,13.3,4.0,8.5,6.1,7.8,44.5,45.2,12.8,99.68,3.4,955,1901625.0,117284457.0,1.6
Domantas Sabonis,SAC,26,62,21,41,34.4,109.5,110.1,-0.6,23.9,1.66,22.5,9.2,26.4,17.6,13.6,59.8,63.7,22.1,99.20,16.1,4420,18500000.0,130457848.0,14.2
Richaun Holmes,SAC,28,45,16,29,23.9,107.2,113.0,-5.8,6.8,0.86,10.9,8.2,19.8,14.0,12.8,66.3,68.9,15.3,101.69,11.6,2274,10384500.0,130457848.0,8.0
Trey Lyles,SAC,26,75,19,56,20.5,106.4,113.6,-7.2,9.0,1.21,10.7,5.6,18.9,12.1,8.9,52.6,58.8,20.5,100.80,11.5,3228,2500000.0,130457848.0,1.9
Damian Jones,SAC,26,56,19,37,18.2,106.7,113.5,-6.8,10.6,1.17,15.4,7.4,16.4,12.0,13.1,67.7,70.1,16.3,100.52,11.0,2116,1977011.0,130457848.0,1.5
De'Aaron Fox,SAC,24,59,22,37,35.3,112.1,116.5,-4.4,25.4,1.96,19.0,1.2,9.6,5.4,9.7,50.6,54.9,28.4,101.88,11.0,4423,28103500.0,130457848.0,21.5
Harrison Barnes,SAC,30,77,27,50,33.6,110.0,116.7,-6.7,10.3,1.58,14.2,3.1,13.5,8.2,9.0,55.4,62.3,18.4,101.14,10.5,5446,20284091.0,130457848.0,15.5
Chimezie Metu,SAC,25,60,23,37,21.3,106.1,111.8,-5.7,7.1,0.98,9.8,2.7,22.7,12.9,10.0,51.6,54.6,18.4,101.50,10.4,2704,1762796.0,130457848.0,1.4
Jeremy Lamb,SAC,30,56,23,33,16.7,110.3,109.7,0.6,12.4,2.19,15.9,2.6,13.4,7.9,7.3,46.3,52.1,18.9,100.62,9.2,1965,10500000.0,130457848.0,8.0
Terence Davis,SAC,25,30,11,19,17.9,113.4,109.0,4.4,10.7,1.21,11.2,1.9,13.8,8.0,9.2,51.5,54.3,24.4,102.84,9.1,1153,4000000.0,130457848.0,3.1
